X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
-9.79999974e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
-9.79999974e-02, 1.99999995e-05, 0.00000000e+00, 3.77472810e-04
-9.79999974e-02, 3.99999990e-05, 0.00000000e+00, 7.54945620e-04
-9.79999974e-02, 5.99999985e-05, 0.00000000e+00, 1.13241852e-03
-9.79999974e-02, 7.99999980e-05, 0.00000000e+00, 1.50989124e-03
-9.79999974e-02, 9.99999975e-05, 0.00000000e+00, 1.88736420e-03
-9.79999974e-02, 1.19999997e-04, 0.00000000e+00, 2.26483704e-03
-9.79999974e-02, 1.40000004e-04, 0.00000000e+00, 2.64230999e-03
-9.79999974e-02, 1.59999996e-04, 0.00000000e+00, 3.01978248e-03
-9.79999974e-02, 1.80000003e-04, 0.00000000e+00, 3.39725544e-03
-9.79999974e-02, 1.99999995e-04, 0.00000000e+00, 3.77472839e-03
-9.79999974e-02, 2.20000002e-04, 0.00000000e+00, 4.15220158e-03
-9.79999974e-02, 2.39999994e-04, 0.00000000e+00, 4.52967407e-03
-9.79999974e-02, 2.60000001e-04, 0.00000000e+00, 4.90714656e-03
-9.79999974e-02, 2.80000007e-04, 0.00000000e+00, 5.28461998e-03
-9.79999974e-02, 3.00000014e-04, 0.00000000e+00, 5.66209247e-03
-9.79999974e-02, 3.19999992e-04, 0.00000000e+00, 6.03956496e-03
-9.79999974e-02, 3.39999999e-04, 0.00000000e+00, 6.41703838e-03
-9.79999974e-02, 3.60000005e-04, 0.00000000e+00, 6.79451087e-03
-9.79999974e-02, 3.80000012e-04, 0.00000000e+00, 7.17198383e-03
-9.79999974e-02, 3.99999990e-04, 0.00000000e+00, 7.54945679e-03
-9.79999974e-02, 4.19999997e-04, 0.00000000e+00, 7.92692881e-03
-9.79999974e-02, 4.40000003e-04, 0.00000000e+00, 8.30440316e-03
-9.79999974e-02, 4.60000010e-04, 0.00000000e+00, 8.68187565e-03
-9.79999974e-02, 4.79999988e-04, 0.00000000e+00, 9.05934814e-03
-9.79999974e-02, 5.00000024e-04, 0.00000000e+00, 9.43682063e-03
-9.79999974e-02, 5.20000001e-04, 0.00000000e+00, 9.81429312e-03
-9.79999974e-02, 5.39999979e-04, 0.00000000e+00, 1.01917665e-02
-9.79999974e-02, 5.60000015e-04, 0.00000000e+00, 1.05692400e-02
-9.79999974e-02, 5.79999993e-04, 0.00000000e+00, 1.09467115e-02
-9.79999974e-02, 6.00000028e-04, 0.00000000e+00, 1.13386540e-02
-9.79999974e-02, 6.20000006e-04, 0.00000000e+00, 1.17016574e-02
-9.79999974e-02, 6.39999984e-04, 0.00000000e+00, 1.20791337e-02
-9.79999974e-02, 6.60000020e-04, 0.00000000e+00, 1.24566052e-02
-9.79999974e-02, 6.79999997e-04, 0.00000000e+00, 1.28340768e-02
-9.79999974e-02, 6.99999975e-04, 0.00000000e+00, 1.32115465e-02
-9.79999974e-02, 7.20000011e-04, 0.00000000e+00, 1.35890208e-02
-9.79999974e-02, 7.39999989e-04, 0.00000000e+00, 1.39664924e-02
-9.79999974e-02, 7.60000024e-04, 0.00000000e+00, 1.43439658e-02
-9.79999974e-02, 7.80000002e-04, 0.00000000e+00, 1.47214374e-02
-9.79999974e-02, 7.99999980e-04, 0.00000000e+00, 1.50989098e-02
-9.79999974e-02, 8.20000016e-04, 0.00000000e+00, 1.54763833e-02
-9.79999974e-02, 8.39999993e-04, 0.00000000e+00, 1.58538539e-02
-9.79999974e-02, 8.59999971e-04, 0.00000000e+00, 1.62313245e-02
-9.79999974e-02, 8.80000007e-04, 0.00000000e+00, 1.66087970e-02
-9.79999974e-02, 8.99999985e-04, 0.00000000e+00, 1.69862695e-02
-9.79999974e-02, 9.20000020e-04, 0.00000000e+00, 1.73637439e-02
-9.79999974e-02, 9.39999998e-04, 0.00000000e+00, 1.76237803e-02
-9.79999974e-02, 9.59999976e-04, 0.00000000e+00, 1.76243763e-02
-9.79999974e-02, 9.80000012e-04, 0.00000000e+00, 1.76249780e-02
-9.79999974e-02, 1.00000005e-03, 0.00000000e+00, 1.76255815e-02
-9.79999974e-02, 1.01999997e-03, 0.00000000e+00, 1.76261794e-02
-9.79999974e-02, 1.04000000e-03, 0.00000000e+00, 1.76267810e-02
-9.79999974e-02, 1.06000004e-03, 0.00000000e+00, 1.76273845e-02
-9.79999974e-02, 1.07999996e-03, 0.00000000e+00, 1.76279880e-02
-9.79999974e-02, 1.09999999e-03, 0.00000000e+00, 1.76285915e-02
-9.79999974e-02, 1.12000003e-03, 0.00000000e+00, 1.76291913e-02
-9.79999974e-02, 1.13999995e-03, 0.00000000e+00, 1.76297966e-02
-9.79999974e-02, 1.15999999e-03, 0.00000000e+00, 1.76303983e-02
-9.79999974e-02, 1.18000002e-03, 0.00000000e+00, 1.76310036e-02
-9.79999974e-02, 1.20000006e-03, 0.00000000e+00, 1.76316053e-02
-9.79999974e-02, 1.21999998e-03, 0.00000000e+00, 1.76322106e-02
-9.79999974e-02, 1.24000001e-03, 0.00000000e+00, 1.76328104e-02
-9.79999974e-02, 1.26000005e-03, 0.00000000e+00, 1.76334158e-02
-9.79999974e-02, 1.27999997e-03, 0.00000000e+00, 1.76340211e-02
-9.79999974e-02, 1.30000000e-03, 0.00000000e+00, 1.76346246e-02
-9.79999974e-02, 1.32000004e-03, 0.00000000e+00, 1.76352281e-02
-9.79999974e-02, 1.33999996e-03, 0.00000000e+00, 1.76358335e-02
-9.79999974e-02, 1.35999999e-03, 0.00000000e+00, 1.76364388e-02
-9.79999974e-02, 1.38000003e-03, 0.00000000e+00, 1.76370405e-02
-9.79999974e-02, 1.39999995e-03, 0.00000000e+00, 1.76376477e-02
-9.79999974e-02, 1.41999999e-03, 0.00000000e+00, 1.76382512e-02
-9.79999974e-02, 1.44000002e-03, 0.00000000e+00, 1.76388584e-02
-9.79999974e-02, 1.46000006e-03, 0.00000000e+00, 1.76394638e-02
-9.79999974e-02, 1.47999998e-03, 0.00000000e+00, 1.76400710e-02
-9.79999974e-02, 1.50000001e-03, 0.00000000e+00, 1.76406763e-02
-9.79999974e-02, 1.52000005e-03, 0.00000000e+00, 1.76412836e-02
-9.79999974e-02, 1.53999997e-03, 0.00000000e+00, 1.76418889e-02
-9.79999974e-02, 1.56000000e-03, 0.00000000e+00, 1.76424962e-02
-9.79999974e-02, 1.58000004e-03, 0.00000000e+00, 1.76431034e-02
-9.79999974e-02, 1.59999996e-03, 0.00000000e+00, 1.76437106e-02
-9.79999974e-02, 1.62000000e-03, 0.00000000e+00, 1.76443160e-02
-9.79999974e-02, 1.64000003e-03, 0.00000000e+00, 1.76449250e-02
-9.79999974e-02, 1.65999995e-03, 0.00000000e+00, 1.76455341e-02
-9.79999974e-02, 1.67999999e-03, 0.00000000e+00, 1.76461358e-02
-9.79999974e-02, 1.70000002e-03, 0.00000000e+00, 1.76466461e-02
-9.79999974e-02, 1.71999994e-03, 0.00000000e+00, 1.76471528e-02
-9.79999974e-02, 1.73999998e-03, 0.00000000e+00, 1.76476631e-02
-9.79999974e-02, 1.76000001e-03, 0.00000000e+00, 1.76481716e-02
-9.79999974e-02, 1.78000005e-03, 0.00000000e+00, 1.76486820e-02
-9.79999974e-02, 1.79999997e-03, 0.00000000e+00, 1.76491942e-02
-9.79999974e-02, 1.82000000e-03, 0.00000000e+00, 1.76497065e-02
-9.79999974e-02, 1.84000004e-03, 0.00000000e+00, 1.76502150e-02
-9.79999974e-02, 1.85999996e-03, 0.00000000e+00, 1.76507272e-02
-9.79999974e-02, 1.88000000e-03, 0.00000000e+00, 1.76512375e-02
-9.79999974e-02, 1.90000003e-03, 0.00000000e+00, 1.76510029e-02
-9.79999974e-02, 1.91999995e-03, 0.00000000e+00, 1.76506862e-02
-9.79999974e-02, 1.93999999e-03, 0.00000000e+00, 1.76503696e-02
-9.79999974e-02, 1.96000002e-03, 0.00000000e+00, 1.76500604e-02
-9.79999974e-02, 1.97999994e-03, 0.00000000e+00, 1.76497456e-02
-9.79999974e-02, 2.00000009e-03, 0.00000000e+00, 1.76494289e-02
-9.79999974e-02, 2.02000001e-03, 0.00000000e+00, 1.76491141e-02
-9.79999974e-02, 2.03999993e-03, 0.00000000e+00, 1.76488031e-02
-9.79999974e-02, 2.06000009e-03, 0.00000000e+00, 1.76484883e-02
-9.79999974e-02, 2.08000001e-03, 0.00000000e+00, 1.76481772e-02
-9.79999974e-02, 2.09999993e-03, 0.00000000e+00, 1.76478606e-02
-9.79999974e-02, 2.12000008e-03, 0.00000000e+00, 1.76475514e-02
-9.79999974e-02, 2.14000000e-03, 0.00000000e+00, 1.76472384e-02
-9.79999974e-02, 2.15999992e-03, 0.00000000e+00, 1.76468305e-02
-9.79999974e-02, 2.18000007e-03, 0.00000000e+00, 1.76461339e-02
-9.79999974e-02, 2.19999999e-03, 0.00000000e+00, 1.76454373e-02
-9.79999974e-02, 2.21999991e-03, 0.00000000e+00, 1.76447388e-02
-9.79999974e-02, 2.24000006e-03, 0.00000000e+00, 1.76440421e-02
-9.79999974e-02, 2.25999998e-03, 0.00000000e+00, 1.76433492e-02
-9.79999974e-02, 2.27999990e-03, 0.00000000e+00, 1.76426545e-02
-9.79999974e-02, 2.30000005e-03, 0.00000000e+00, 1.76419616e-02
-9.79999974e-02, 2.31999997e-03, 0.00000000e+00, 1.76412687e-02
-9.79999974e-02, 2.33999989e-03, 0.00000000e+00, 1.76405702e-02
-9.79999974e-02, 2.36000004e-03, 0.00000000e+00, 1.76398754e-02
-9.79999974e-02, 2.37999996e-03, 0.00000000e+00, 1.76391825e-02
-9.79999974e-02, 2.40000011e-03, 0.00000000e+00, 1.76384896e-02
-9.79999974e-02, 2.42000003e-03, 0.00000000e+00, 1.76377986e-02
-9.79999974e-02, 2.43999995e-03, 0.00000000e+00, 1.76371057e-02
-9.79999974e-02, 2.46000011e-03, 0.00000000e+00, 1.76364128e-02
-9.79999974e-02, 2.48000002e-03, 0.00000000e+00, 1.76357180e-02
-9.79999974e-02, 2.49999994e-03, 0.00000000e+00, 1.76350288e-02
-9.79999974e-02, 2.52000010e-03, 0.00000000e+00, 1.76343378e-02
-9.79999974e-02, 2.54000002e-03, 0.00000000e+00, 1.76336467e-02
-9.79999974e-02, 2.55999994e-03, 0.00000000e+00, 1.76329538e-02
-9.79999974e-02, 2.58000009e-03, 0.00000000e+00, 1.76322646e-02
-9.79999974e-02, 2.60000001e-03, 0.00000000e+00, 1.76315755e-02
-9.79999974e-02, 2.61999993e-03, 0.00000000e+00, 1.76308863e-02
-9.79999974e-02, 2.64000008e-03, 0.00000000e+00, 1.76301971e-02
-9.79999974e-02, 2.66000000e-03, 0.00000000e+00, 1.76295079e-02
-9.79999974e-02, 2.67999992e-03, 0.00000000e+00, 1.76288206e-02
-9.79999974e-02, 2.70000007e-03, 0.00000000e+00, 1.76281314e-02
-9.79999974e-02, 2.71999999e-03, 0.00000000e+00, 1.76274404e-02
-9.79999974e-02, 2.73999991e-03, 0.00000000e+00, 1.76267549e-02
-9.79999974e-02, 2.76000006e-03, 0.00000000e+00, 1.76260676e-02
-9.79999974e-02, 2.77999998e-03, 0.00000000e+00, 1.76253803e-02
-9.79999974e-02, 2.79999990e-03, 0.00000000e+00, 1.76246930e-02
-9.79999974e-02, 2.82000005e-03, 0.00000000e+00, 1.76240057e-02
-9.79999974e-02, 2.83999997e-03, 0.00000000e+00, 1.76233202e-02
-9.79999974e-02, 2.85999989e-03, 0.00000000e+00, 1.76227000e-02
-9.79999974e-02, 2.88000004e-03, 0.00000000e+00, 1.76220965e-02
-9.79999974e-02, 2.89999996e-03, 0.00000000e+00, 1.76214948e-02
-9.79999974e-02, 2.92000012e-03, 0.00000000e+00, 1.76208932e-02
-9.79999974e-02, 2.94000003e-03, 0.00000000e+00, 1.76202897e-02
-9.79999974e-02, 2.95999995e-03, 0.00000000e+00, 1.76196843e-02
-9.79999974e-02, 2.98000011e-03, 0.00000000e+00, 1.76190846e-02
-9.79999974e-02, 3.00000003e-03, 0.00000000e+00, 1.76184848e-02
-9.79999974e-02, 3.01999995e-03, 0.00000000e+00, 1.76178813e-02
-9.79999974e-02, 3.04000010e-03, 0.00000000e+00, 1.76172797e-02
-9.79999974e-02, 3.06000002e-03, 0.00000000e+00, 1.76166818e-02
-9.79999974e-02, 3.07999994e-03, 0.00000000e+00, 1.76160820e-02
-9.79999974e-02, 3.10000009e-03, 0.00000000e+00, 1.76154803e-02
-9.79999974e-02, 3.12000001e-03, 0.00000000e+00, 1.76148824e-02
-9.79999974e-02, 3.13999993e-03, 0.00000000e+00, 1.76142827e-02
-9.79999974e-02, 3.16000008e-03, 0.00000000e+00, 1.76135786e-02
-9.79999974e-02, 3.18000000e-03, 0.00000000e+00, 1.76119599e-02
-9.79999974e-02, 3.19999992e-03, 0.00000000e+00, 1.76103450e-02
-9.79999974e-02, 3.22000007e-03, 0.00000000e+00, 1.76087301e-02
-9.79999974e-02, 3.23999999e-03, 0.00000000e+00, 1.76071171e-02
-9.79999974e-02, 3.25999991e-03, 0.00000000e+00, 1.76055040e-02
-9.79999974e-02, 3.28000006e-03, 0.00000000e+00, 1.76038910e-02
-9.79999974e-02, 3.29999998e-03, 0.00000000e+00, 1.76022761e-02
-9.79999974e-02, 3.31999990e-03, 0.00000000e+00, 1.76006667e-02
-9.79999974e-02, 3.34000005e-03, 0.00000000e+00, 1.75990555e-02
-9.79999974e-02, 3.35999997e-03, 0.00000000e+00, 1.75974462e-02
-9.79999974e-02, 3.37999989e-03, 0.00000000e+00, 1.75958313e-02
-9.79999974e-02, 3.40000005e-03, 0.00000000e+00, 1.75942257e-02
-9.79999974e-02, 3.41999996e-03, 0.00000000e+00, 1.75926108e-02
-9.79999974e-02, 3.43999988e-03, 0.00000000e+00, 1.75910033e-02
-9.79999974e-02, 3.46000004e-03, 0.00000000e+00, 1.75893921e-02
-9.79999974e-02, 3.47999996e-03, 0.00000000e+00, 1.75878666e-02
-9.79999974e-02, 3.50000011e-03, 0.00000000e+00, 1.75863728e-02
-9.79999974e-02, 3.52000003e-03, 0.00000000e+00, 1.75848790e-02
-9.79999974e-02, 3.53999995e-03, 0.00000000e+00, 1.75833832e-02
-9.79999974e-02, 3.56000010e-03, 0.00000000e+00, 1.75818931e-02
-9.79999974e-02, 3.58000002e-03, 0.00000000e+00, 1.75804012e-02
-9.79999974e-02, 3.59999994e-03, 0.00000000e+00, 1.75789110e-02
-9.79999974e-02, 3.62000009e-03, 0.00000000e+00, 1.75774191e-02
-9.79999974e-02, 3.64000001e-03, 0.00000000e+00, 1.75759234e-02
-9.79999974e-02, 3.65999993e-03, 0.00000000e+00, 1.75744351e-02
-9.79999974e-02, 3.68000008e-03, 0.00000000e+00, 1.75729431e-02
-9.79999974e-02, 3.70000000e-03, 0.00000000e+00, 1.75714511e-02
-9.79999974e-02, 3.71999992e-03, 0.00000000e+00, 1.75699629e-02
-9.79999974e-02, 3.74000007e-03, 0.00000000e+00, 1.75684709e-02
-9.79999974e-02, 3.75999999e-03, 0.00000000e+00, 1.75669864e-02
-9.79999974e-02, 3.77999991e-03, 0.00000000e+00, 1.75654944e-02
-9.79999974e-02, 3.80000006e-03, 0.00000000e+00, 1.75640061e-02
-9.79999974e-02, 3.81999998e-03, 0.00000000e+00, 1.75625142e-02
-9.79999974e-02, 3.83999990e-03, 0.00000000e+00, 1.75610259e-02
-9.79999974e-02, 3.86000006e-03, 0.00000000e+00, 1.75595358e-02
-9.79999974e-02, 3.87999997e-03, 0.00000000e+00, 1.75580475e-02
-9.79999974e-02, 3.89999989e-03, 0.00000000e+00, 1.75565612e-02
-9.79999974e-02, 3.92000005e-03, 0.00000000e+00, 1.75550710e-02
-9.79999974e-02, 3.94000020e-03, 0.00000000e+00, 1.75535847e-02
-9.79999974e-02, 3.95999989e-03, 0.00000000e+00, 1.75517779e-02
-9.79999974e-02, 3.98000004e-03, 0.00000000e+00, 1.75494347e-02
-9.79999974e-02, 4.00000019e-03, 0.00000000e+00, 1.75470933e-02
-9.79999974e-02, 4.01999988e-03, 0.00000000e+00, 1.75447576e-02
-9.79999974e-02, 4.04000003e-03, 0.00000000e+00, 1.75424181e-02
-9.79999974e-02, 4.06000018e-03, 0.00000000e+00, 1.75400805e-02
-9.79999974e-02, 4.07999987e-03, 0.00000000e+00, 1.75377484e-02
-9.79999974e-02, 4.10000002e-03, 0.00000000e+00, 1.75354108e-02
-9.79999974e-02, 4.12000017e-03, 0.00000000e+00, 1.75330751e-02
-9.79999974e-02, 4.13999986e-03, 0.00000000e+00, 1.75307393e-02
-9.79999974e-02, 4.16000001e-03, 0.00000000e+00, 1.75284389e-02
-9.79999974e-02, 4.18000016e-03, 0.00000000e+00, 1.75262745e-02
-9.79999974e-02, 4.19999985e-03, 0.00000000e+00, 1.75241102e-02
-9.79999974e-02, 4.22000000e-03, 0.00000000e+00, 1.75219495e-02
-9.79999974e-02, 4.24000015e-03, 0.00000000e+00, 1.75197832e-02
-9.79999974e-02, 4.25999984e-03, 0.00000000e+00, 1.75176393e-02
-9.79999974e-02, 4.27999999e-03, 0.00000000e+00, 1.75154544e-02
-9.79999974e-02, 4.30000015e-03, 0.00000000e+00, 1.75132900e-02
-9.79999974e-02, 4.31999983e-03, 0.00000000e+00, 1.75111312e-02
-9.79999974e-02, 4.33999998e-03, 0.00000000e+00, 1.75089650e-02
-9.79999974e-02, 4.36000014e-03, 0.00000000e+00, 1.75068043e-02
-9.79999974e-02, 4.37999982e-03, 0.00000000e+00, 1.75046418e-02
-9.79999974e-02, 4.39999998e-03, 0.00000000e+00, 1.75024830e-02
-9.79999974e-02, 4.42000013e-03, 0.00000000e+00, 1.75003204e-02
-9.79999974e-02, 4.43999982e-03, 0.00000000e+00, 1.74981635e-02
-9.79999974e-02, 4.45999997e-03, 0.00000000e+00, 1.74960010e-02
-9.79999974e-02, 4.48000012e-03, 0.00000000e+00, 1.74938403e-02
-9.79999974e-02, 4.49999981e-03, 0.00000000e+00, 1.74916815e-02
-9.79999974e-02, 4.51999996e-03, 0.00000000e+00, 1.74893662e-02
-9.79999974e-02, 4.54000011e-03, 0.00000000e+00, 1.74870044e-02
-9.79999974e-02, 4.55999980e-03, 0.00000000e+00, 1.74846426e-02
-9.79999974e-02, 4.57999995e-03, 0.00000000e+00, 1.74822789e-02
-9.79999974e-02, 4.60000010e-03, 0.00000000e+00, 1.74799170e-02
-9.79999974e-02, 4.61999979e-03, 0.00000000e+00, 1.74775589e-02
-9.79999974e-02, 4.63999994e-03, 0.00000000e+00, 1.74751952e-02
-9.79999974e-02, 4.66000009e-03, 0.00000000e+00, 1.74728371e-02
-9.79999974e-02, 4.67999978e-03, 0.00000000e+00, 1.74704790e-02
-9.79999974e-02, 4.69999993e-03, 0.00000000e+00, 1.74681190e-02
-9.79999974e-02, 4.72000008e-03, 0.00000000e+00, 1.74657609e-02
-9.79999974e-02, 4.73999977e-03, 0.00000000e+00, 1.74634028e-02
-9.79999974e-02, 4.75999992e-03, 0.00000000e+00, 1.74610410e-02
-9.79999974e-02, 4.78000008e-03, 0.00000000e+00, 1.74586847e-02
-9.79999974e-02, 4.80000023e-03, 0.00000000e+00, 1.74563285e-02
-9.79999974e-02, 4.81999991e-03, 0.00000000e+00, 1.74539704e-02
-9.79999974e-02, 4.84000007e-03, 0.00000000e+00, 1.74516141e-02
-9.79999974e-02, 4.86000022e-03, 0.00000000e+00, 1.74492579e-02
-9.79999974e-02, 4.87999991e-03, 0.00000000e+00, 1.74468998e-02
-9.79999974e-02, 4.90000006e-03, 0.00000000e+00, 1.74445454e-02
-9.79999974e-02, 4.92000021e-03, 0.00000000e+00, 1.74421892e-02
-9.79999974e-02, 4.93999990e-03, 0.00000000e+00, 1.74398329e-02
-9.79999974e-02, 4.96000005e-03, 0.00000000e+00, 1.74374804e-02
